key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
WALG,TJS,Tanjung Selor,Tanjung Selor-Borneo Island,Indonesia,2.85,117.366667,10,8,U,Asia/Makassar
WALJ,DTD,Datadawai Airport,Datadawai-Borneo Island,Indonesia,0.716667,116.483333,229,8,U,Asia/Makassar
WALK,BEJ,Barau(Kalimaru) Airport,Tanjung Redep-Borneo Island,Indonesia,2.155497,117.432256,59,8,U,Asia/Makassar
WALL,BPN,Sepinggan,Balikpapan,Indonesia,-1.267222,116.893889,12,8,U,Asia/Makassar
WALR,TRK,Tarakan Airport,Taraken,Indonesia,3.327293,117.567701,20,8,U,Asia/Makassar
WALS,SRI,Temindung Airport,Samarinda,Indonesia,-0.484586,117.157083,33,8,U,Asia/Makassar
WAMG,GTO,Tolotio Airport,Gorontalo,Indonesia,0.638991,122.850743,105,8,U,Asia/Makassar
WAMH,NAH,Naha Airport,Naha,Indonesia,3.678268,125.530019,16,8,U,Asia/Makassar
WAML,PLW,Mutiara Airport,Palu,Indonesia,-0.917427,119.907002,284,8,U,Asia/Makassar
WAMM,MDC,Sam Ratulangi International Airport,Manado,Indonesia,1.542734,124.923708,264,8,U,Asia/Makassar
WAMP,PSJ,Kasiguncu Airport,Poso,Indonesia,-1.416753,120.657669,174,8,U,Asia/Makassar
WAMR,OTI,Pitu,Morotai Island,Indonesia,2.045992,128.324708,49,9,U,Asia/Jayapura
WAMT,TTE,Babullah Airport,Ternate,Indonesia,0.833511,127.387252,49,9,U,Asia/Jayapura
WAMW,LUW,Syukuran Aminuddin Amir Airport,Luwuk,Indonesia,-1.0415,122.772152,56,8,U,Asia/Makassar
WAOI,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,-2.704444,111.673889,75,7,U,Asia/Pontianak
WAON,TJG,Warukin,Tanjung-Borneo Island,Indonesia,-2.216361,115.436691,197,8,U,Asia/Jakarta
WAOO,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,-3.442291,114.761089,66,8,U,Asia/Jakarta
WAOP,PKY,Tjilik Riwut Airport,Palangkaraya,Indonesia,-2.226667,113.944167,82,7,U,Asia/Pontianak
WAOS,SMQ,H Asan,Sampit-Borneo Island,Indonesia,-2.503611,112.978058,50,7,U,Asia/Pontianak
WAPL,LUV,Dumatubin Airport,Langgur-Kei Islands,Indonesia,-5.664598,132.736762,10,9,U,Asia/Jayapura
WAPP,AMQ,Pattimura,Ambon,Indonesia,-3.701575,128.09853,33,9,U,Asia/Jayapura
WARA,MLG,Abdul Rachman Saleh Airport,Malang,Indonesia,-7.925142,112.710743,1726,7,U,Asia/Jakarta
WARJ,JOG,Adisutjipto Airport,Yogyakarta,Indonesia,-7.785602,110.437368,350,7,U,Asia/Jakarta
WARQ,SOC,Adisumarmo International Airport,Solo City,Indonesia,-7.515918,110.756924,421,7,U,Asia/Jakarta
WARR,SUB,Juanda International Airport,Surabaya,Indonesia,-7.380556,112.786111,9,7,U,Asia/Jakarta
WARS,SRG,Achmad Uani Airport,Semarang,Indonesia,-6.978721,110.378455,13,7,U,Asia/Jakarta
WASF,FKQ,Bandar Udara Torea,Fak Fak,Indonesia,-2.933333,132.266667,462,9,U,Asia/Jayapura
WASK,KNG,Kaimana Airport,Kaimana,Indonesia,-3.64518,133.705487,19,9,U,Asia/Jayapura
WASO,BXB,Babo Airport,Babo,Indonesia,-2.546411,133.422321,10,9,U,Asia/Jayapura
